ticker,stock_price,num_of_shares_to_buy,one_year_price_return,six_month_price_return,three_month_price_return,one_month_price_return,one_year_price_return_percentile,six_month_price_return_percentile,three_month_price_return_percentile,one_month_price_return_percentile,HQM_score
ALB,191.9,104,1.661101,1.445081,0.904988,0.289662,0.998019801980198,0.9960396039603961,0.998019801980198,0.998019801980198,0.9975247524752475
FCX,32.34,618,1.42626,1.432326,0.875855,0.27916,0.994059405940594,0.994059405940594,0.9960396039603961,0.994059405940594,0.9945544554455445
SIVB,424.25,47,0.700468,1.06482,0.570434,0.196997,0.9544554455445545,0.9841584158415841,0.9623762376237623,0.9702970297029703,0.9678217821782178
LB,47.74,418,1.653748,1.985602,0.446279,0.145394,0.9960396039603961,1.0,0.9108910891089108,0.9247524752475248,0.9579207920792079
ALGN,573.63,34,1.025269,1.067755,0.7549,0.106294,0.9861386138613861,0.9881188118811882,0.9841584158415841,0.8475247524752476,0.9514851485148514
APTV,147.19,135,0.580817,0.896761,0.509049,0.18313,0.9148514851485149,0.9742574257425742,0.9445544554455445,0.9603960396039604,0.9485148514851485
MS,78.85,253,0.527935,0.566284,0.551449,0.179927,0.8910891089108911,0.8633663366336635,0.9564356435643565,0.9584158415841584,0.9173267326732674
DE,303.79,65,0.705389,0.900553,0.267781,0.174808,0.9564356435643565,0.9762376237623762,0.7485148514851485,0.9564356435643565,0.9094059405940593
TPR,35.11,569,0.254181,1.649506,0.863472,0.16084,0.6792079207920793,0.998019801980198,0.9920792079207921,0.9485148514851486,0.9044554455445545
MOS,27.17,736,0.297862,1.281125,0.377005,0.202097,0.7465346534653466,0.9900990099009901,0.8673267326732673,0.9762376237623762,0.8950495049504951
EXPE,150.25,133,0.333234,0.711624,0.502984,0.144047,0.7920792079207921,0.9267326732673267,0.9386138613861387,0.9227722772277228,0.8950495049504951
CTVA,45.32,441,0.542392,0.70211,0.35102,0.126996,0.895049504950495,0.9247524752475248,0.8514851485148515,0.895049504950495,0.8915841584158415
DD,84.27,237,0.374039,0.596062,0.397383,0.235016,0.8178217821782178,0.8811881188118812,0.8772277227722772,0.9881188118811882,0.8910891089108911
SCHW,59.63,335,0.255111,0.758922,0.589943,0.174098,0.6811881188118812,0.9425742574257425,0.9683168316831683,0.9544554455445545,0.8866336633663366
AES,26.34,759,0.323481,0.811433,0.32807,0.204986,0.7841584158415842,0.9564356435643565,0.8237623762376238,0.9782178217821782,0.8856435643564358
DVA,126.14,158,0.663562,0.535203,0.417292,0.123008,0.9425742574257425,0.8297029702970298,0.8910891089108911,0.8792079207920793,0.8856435643564358
FRC,169.16,118,0.421873,0.58154,0.323664,0.247921,0.8534653465346534,0.8712871287128714,0.8158415841584159,0.9920792079207921,0.8831683168316833
DFS,100.49,199,0.219663,1.057363,0.507004,0.187647,0.6356435643564357,0.9821782178217822,0.9425742574257425,0.9643564356435644,0.8811881188118812
KEYS,151.5,132,0.462368,0.500429,0.424355,0.16055,0.8693069306930693,0.8,0.897029702970297,0.9465346534653466,0.8782178217821782
CARR,41.55,481,2.399293,0.73021,0.286696,0.094789,1.0,0.9326732673267327,0.7663366336633664,0.8,0.8747524752475246
ZBRA,414.55,48,0.66472,0.587592,0.474713,0.082647,0.9445544554455445,0.8772277227722772,0.9247524752475248,0.7504950495049505,0.8742574257425741
IPGP,251.47,79,0.696014,0.505044,0.344928,0.124213,0.9524752475247524,0.8099009900990098,0.8435643564356435,0.8831683168316832,0.8722772277227722
IDXX,527.0,37,0.899628,0.552035,0.307616,0.118888,0.9801980198019803,0.8455445544554455,0.7900990099009901,0.8712871287128714,0.8717821782178219
TTWO,212.8,93,0.664973,0.434795,0.327161,0.150421,0.9465346534653466,0.7287128712871287,0.8217821782178218,0.9346534653465346,0.857920792079208
FFIV,194.27,102,0.404364,0.428359,0.505691,0.131162,0.8455445544554455,0.712871287128713,0.9405940594059407,0.9029702970297029,0.8504950495049505
PWR,76.64,260,0.902719,1.065721,0.298983,0.062546,0.9821782178217822,0.9861386138613861,0.7801980198019802,0.6455445544554455,0.8485148514851484
ALXN,157.67,126,0.460042,0.46636,0.280167,0.32323,0.8673267326732673,0.7623762376237623,0.7623762376237623,1.0,0.848019801980198
AMAT,98.46,203,0.588999,0.548153,0.536874,0.065786,0.9207920792079207,0.8435643564356435,0.9524752475247524,0.6653465346534654,0.8455445544554455
TGT,195.2,102,0.629359,0.685617,0.209484,0.126744,0.9287128712871286,0.9148514851485149,0.6435643564356436,0.8930693069306931,0.845049504950495
URI,262.41,76,0.603874,0.759045,0.309627,0.070853,0.9247524752475248,0.9445544554455445,0.794059405940594,0.6990099009900991,0.8405940594059406
DIS,180.2,110,0.23512,0.533686,0.461209,0.165225,0.6574257425742575,0.8277227722772277,0.9207920792079207,0.9524752475247524,0.8396039603960396
GS,296.6,67,0.261775,0.4698,0.410297,0.22088,0.695049504950495,0.7643564356435644,0.887128712871287,0.9821782178217822,0.8321782178217821
DISCA,35.99,555,0.08095,0.720468,0.543748,0.234263,0.4475247524752475,0.9287128712871286,0.9544554455445545,0.9861386138613861,0.8292079207920792
MXIM,98.75,202,0.586786,0.545277,0.322375,0.080637,0.9188118811881187,0.8396039603960397,0.8138613861386139,0.7346534653465346,0.8267326732673268
COF,114.31,174,0.112359,0.811824,0.394599,0.197736,0.49306930693069306,0.9584158415841584,0.8752475247524752,0.9722772277227724,0.8247524752475247
CDNS,138.26,144,0.885608,0.381238,0.255791,0.15528,0.9762376237623762,0.6495049504950495,0.7207920792079208,0.9405940594059407,0.8217821782178218
PKI,164.25,121,0.65067,0.584622,0.256715,0.083153,0.9346534653465346,0.8732673267326733,0.7267326732673267,0.7524752475247525,0.8217821782178216
ADSK,334.37,59,0.714328,0.32446,0.365151,0.126387,0.9584158415841584,0.5702970297029704,0.8594059405940594,0.8891089108910891,0.8193069306930693
MU,78.27,255,0.361224,0.562901,0.563738,0.059678,0.807920792079208,0.8594059405940594,0.9603960396039604,0.6376237623762376,0.8163366336633664
QRVO,185.1,108,0.606946,0.610033,0.326433,0.056799,0.9267326732673267,0.8910891089108911,0.8198019801980198,0.6257425742574257,0.8158415841584158
